"Fact","Fact Note","Kings County, New York","Value Note for Kings County, New York","Queens County, New York","Value Note for Queens County, New York","United States","Value Note for United States"
"Population estimates, July 1, 2023, (V2023)","","2,561,225","","2,252,196","","334,914,895",""
"Population estimates base, April 1, 2020, (V2023)","","2,736,119","","2,405,425","","331,464,948",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-6.4%","","-6.4%","","1.0%",""
"Population, Census, April 1, 2020","","2,736,074","","2,405,464","","331,449,281",""
"Population, Census, April 1, 2010","","2,504,700","","2,230,722","","308,745,538",""
"Persons under 5 years, percent","","6.1%","","5.1%","","5.5%",""
"Persons under 18 years, percent","","21.8%","","19.1%","","21.7%",""
"Persons 65 years and over, percent","","16.2%","","18.7%","","17.7%",""
"Female persons, percent","","52.4%","","51.2%","","50.5%",""
"White alone, percent","","50.0%","","46.4%","","75.3%",""
"Black or African American alone, percent","(a)","32.8%","","20.7%","","13.7%",""
"American Indian and Alaska Native alone, percent","(a)","1.0%","","1.5%","","1.3%",""
"Asian alone, percent","(a)","13.1%","","28.0%","","6.4%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.2%","","0.3%",""
"Two or More Races, percent","","3.0%","","3.2%","","3.1%",""
"Hispanic or Latino, percent","(b)","18.9%","","28.1%","","19.5%",""
"White alone, not Hispanic or Latino, percent","","37.2%","","24.0%","","58.4%",""
"Veterans, 2018-2022","","33,841","","38,515","","17,038,807",""
"Foreign born persons, percent, 2018-2022","","35.3%","","47.1%","","13.7%",""
"Housing Units, July 1, 2023, (V2023)","","1,110,696","","917,364","","145,344,636",""
"Owner-occupied housing unit rate, 2018-2022","","30.3%","","45.2%","","64.8%",""
"Median value of owner-occupied housing units, 2018-2022","","$865,300","","$677,700","","$281,900",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$3,359","","$2,977","","$1,828",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$1,057","","$1,042","","$584",""
"Median gross rent, 2018-2022","","$1,715","","$1,847","","$1,268",""
"Building Permits, 2023","","15,076","","7,931","","1,511,102",""
"Households, 2018-2022","","997,957","","816,859","","125,736,353",""
"Persons per household, 2018-2022","","2.64","","2.85","","2.57",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","90.2%","","92.1%","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","44.2%","","55.4%","","21.7%",""
"Households with a computer, percent, 2018-2022","","91.5%","","94.2%","","94.0%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","86.3%","","89.2%","","88.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","83.8%","","82.8%","","89.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","40.4%","","34.8%","","34.3%",""
