city,state,price,bedroom_number,bathroom_number,price_per_unit
Brooklyn,NY,459999.0,2.0,1.0,1008.0
Brooklyn,NY,758000.0,2.0,2.0,421.0
Brooklyn,NY,849000.0,4.0,2.0,463.0
Brooklyn,NY,788000.0,4.0,3.0,525.0
Brooklyn,NY,550000.0,3.0,2.0,361.0
Brooklyn,NY,399000.0,,,
Brooklyn,NY,549000.0,2.0,1.0,476.0
Brooklyn,NY,529999.0,3.0,2.0,628.0
Brooklyn,NY,350000.0,1.0,1.0,194.0
Brooklyn,NY,989000.0,6.0,4.0,236.0
Brooklyn,NY,675000.0,4.0,2.0,446.0
Brooklyn,NY,599000.0,3.0,2.0,352.0
Brooklyn,NY,678000.0,3.0,2.0,557.0
Brooklyn,NY,538000.0,3.0,1.0,538.0
Brooklyn,NY,628000.0,4.0,2.0,348.0
Brooklyn,NY,790000.0,3.0,3.0,503.0
Brooklyn,NY,559000.0,0.0,0.0,430.0
Brooklyn,NY,815000.0,3.0,3.0,
Brooklyn,NY,669000.0,3.0,3.0,290.0
Brooklyn,NY,569000.0,3.0,2.0,720.0
Brooklyn,NY,199999.0,,,
Brooklyn,NY,799000.0,3.0,2.0,594.0
Brooklyn,NY,399900.0,2.0,1.0,766.0
Brooklyn,NY,599999.0,3.0,1.0,399.0
Brooklyn,NY,359000.0,2.0,2.0,373.0
Brooklyn,NY,299999.0,2.0,1.0,581.0
Brooklyn,NY,639000.0,3.0,2.0,532.0
Brooklyn,NY,679000.0,4.0,2.0,292.0
Brooklyn,NY,389000.0,3.0,2.0,311.0
Brooklyn,NY,534999.0,3.0,2.0,481.0
Brooklyn,NY,589000.0,3.0,1.0,368.0
Brooklyn,NY,5450000.0,7.0,5.0,1362.0
Brooklyn,NY,2775000.0,3.0,4.0,1177.0
Brooklyn,NY,1575000.0,2.0,2.0,1235.0
Brooklyn,NY,1590000.0,2.0,2.0,1206.0
Brooklyn,NY,985000.0,1.0,1.0,1369.0
Brooklyn,NY,4450000.0,9.0,5.0,988.0
Brooklyn,NY,1825000.0,2.0,2.0,1584.0
Brooklyn,NY,1575000.0,2.0,2.0,1497.0
Brooklyn,NY,1695000.0,2.0,2.0,1335.0
Brooklyn,NY,3395000.0,3.0,3.0,1988.0
Brooklyn,NY,1150000.0,1.0,1.0,1412.0
Brooklyn,NY,5995000.0,2.0,3.0,2725.0
Brooklyn,NY,3275000.0,3.0,2.0,1186.0
Brooklyn,NY,999000.0,2.0,1.0,1110.0
Brooklyn,NY,1595000.0,2.0,2.0,1285.0
Brooklyn,NY,2100000.0,2.0,2.0,2042.0
Brooklyn,NY,675000.0,2.0,1.0,
Brooklyn,NY,1395000.0,2.0,2.0,1292.0
Brooklyn,NY,820000.0,0.0,1.0,1359.0
Brooklyn,NY,900000.0,1.0,1.0,1500.0
Brooklyn,NY,1175000.0,2.0,2.0,1000.0
Brooklyn,NY,4250000.0,7.0,4.0,1270.0
Brooklyn,NY,1225000.0,1.0,2.0,1353.0
Brooklyn,NY,1149000.0,2.0,1.0,1196.0
Brooklyn,NY,2350000.0,2.0,3.0,1304.0
Brooklyn,NY,2750000.0,3.0,2.0,2173.0
Brooklyn,NY,1295000.0,1.0,1.0,1403.0
Brooklyn,NY,1150000.0,1.0,1.0,1537.0
Brooklyn,NY,1790000.0,2.0,2.0,1553.0
Brooklyn,NY,1600000.0,2.0,2.0,1678.0
Brooklyn,NY,2300000.0,2.0,2.0,1934.0
Brooklyn,NY,5495000.0,6.0,7.0,1080.0
Brooklyn,NY,1395000.0,2.0,2.0,1141.0
Brooklyn,NY,2725000.0,3.0,4.0,1156.0
Brooklyn,NY,3995000.0,3.0,3.0,2015.0
Brooklyn,NY,1595000.0,2.0,2.0,1357.0
Brooklyn,NY,2350000.0,2.0,2.0,1342.0
Brooklyn,NY,2900000.0,4.0,2.0,1421.0
Brooklyn,NY,2899000.0,1.0,2.0,1449.0
Brooklyn,NY,2975000.0,3.0,3.0,1645.0
Brooklyn,NY,1250000.0,1.0,1.0,1801.0
Brooklyn,NY,2325000.0,2.0,3.0,1704.0
Brooklyn,NY,1295000.0,1.0,2.0,1550.0
Brooklyn,NY,995000.0,1.0,1.0,1450.0
Brooklyn,NY,3575000.0,4.0,4.0,1466.0
Brooklyn,NY,980000.0,1.0,1.0,1543.0
Brooklyn,NY,1998000.0,3.0,2.0,1368.0
Brooklyn,NY,1395000.0,1.0,2.0,1411.0
Brooklyn,NY,2995000.0,3.0,3.0,1889.0
Brooklyn,NY,1400000.0,2.0,1.0,1641.0
Brooklyn,NY,998000.0,1.0,1.0,1223.0
Brooklyn,NY,945000.0,1.0,1.0,1440.0
Brooklyn,NY,975000.0,1.0,1.0,1415.0
Brooklyn,NY,2295000.0,2.0,2.0,1667.0
Brooklyn,NY,2995000.0,3.0,2.0,1619.0
Brooklyn,NY,2400000.0,2.0,3.0,1685.0
Brooklyn,NY,1935000.0,2.0,2.0,1523.0
Brooklyn,NY,1950000.0,2.0,2.0,1436.0
Brooklyn,NY,1150000.0,1.0,1.0,1483.0
Brooklyn,NY,2995000.0,2.0,4.0,1453.0
Brooklyn,NY,2175000.0,2.0,3.0,1558.0
Brooklyn,NY,1100000.0,1.0,1.0,1397.0
Brooklyn,NY,3400000.0,4.0,5.0,1006.0
Brooklyn,NY,3500000.0,3.0,4.0,1045.0
Brooklyn,NY,1250000.0,1.0,1.0,1266.0
Brooklyn,NY,1300000.0,2.0,2.0,1236.0
Brooklyn,NY,1400000.0,2.0,2.0,1658.0
Brooklyn,NY,2545000.0,4.0,5.0,995.0
Brooklyn,NY,1395000.0,1.0,1.0,1596.0
Brooklyn,NY,6750000.0,4.0,4.0,2250.0
Brooklyn,NY,1100000.0,1.0,1.0,1466.0
Brooklyn,NY,8500000.0,,4.0,1683.0
Brooklyn,NY,965000.0,1.0,1.0,1355.0
Brooklyn,NY,3600000.0,3.0,2.0,2141.0
Brooklyn,NY,5500000.0,6.0,7.0,1942.0
Brooklyn,NY,1850000.0,2.0,3.0,1380.0
Brooklyn,NY,1336500.0,1.0,2.0,1138.0
Brooklyn,NY,1100000.0,1.0,1.0,1439.0
Brooklyn,NY,2700000.0,2.0,3.0,1668.0
Brooklyn,NY,1425000.0,2.0,2.0,1399.0
Brooklyn,NY,6500000.0,5.0,7.0,1276.0
Brooklyn,NY,5000000.0,16.0,8.0,909.0
Brooklyn,NY,5600000.0,16.0,8.0,1018.0
Brooklyn,NY,1500000.0,1.0,1.0,1284.0
Brooklyn,NY,6500000.0,5.0,7.0,1276.0
Brooklyn,NY,4000000.0,4.0,4.0,1216.0
Brooklyn,NY,2998000.0,7.0,4.0,999.0
Brooklyn,NY,1499999.0,2.0,2.0,1364.0
Brooklyn,NY,1700000.0,2.0,2.0,1691.0
Brooklyn,NY,2750000.0,3.0,2.0,2389.0
Brooklyn,NY,895000.0,1.0,1.0,1501.0
Brooklyn,NY,1225000.0,1.0,2.0,1225.0
Brooklyn,NY,1075000.0,1.0,1.0,
Brooklyn,NY,1200000.0,1.0,2.0,1115.0
Brooklyn,NY,1795000.0,2.0,2.0,1637.0
Brooklyn,NY,8500000.0,11.0,7.0,1683.0
Brooklyn,NY,3650000.0,18.0,8.0,663.0
Brooklyn,NY,1100000.0,1.0,1.0,1492.0
Brooklyn,NY,5495000.0,5.0,6.0,1078.0
Brooklyn,NY,2595000.0,2.0,3.0,1357.0
Brooklyn,NY,1125000.0,1.0,1.0,1332.0
Brooklyn,NY,865000.0,5.0,3.0,415.0
Brooklyn,NY,750888.0,3.0,3.0,579.0
Brooklyn,NY,210000.0,1.0,1.0,280.0
Brooklyn,NY,828000.0,2.0,2.0,855.0
Brooklyn,NY,868000.0,3.0,2.0,565.0
Brooklyn,NY,285000.0,2.0,1.0,335.0
Brooklyn,NY,889000.0,3.0,4.0,
Brooklyn,NY,339000.0,3.0,2.0,294.0
Brooklyn,NY,629000.0,2.0,2.0,424.0
Brooklyn,NY,749000.0,3.0,3.0,407.0
Brooklyn,NY,1250000.0,,5.0,
Brooklyn,NY,1249000.0,5.0,3.0,495.0
Brooklyn,NY,868000.0,3.0,3.0,565.0
Brooklyn,NY,270000.0,2.0,1.0,300.0
Brooklyn,NY,989000.0,4.0,3.0,445.0
Brooklyn,NY,885000.0,3.0,3.0,438.0
Brooklyn,NY,799000.0,4.0,3.0,422.0
Brooklyn,NY,699000.0,3.0,2.0,
Brooklyn,NY,698000.0,2.0,2.0,
Brooklyn,NY,699000.0,5.0,3.0,
Brooklyn,NY,330000.0,3.0,2.0,300.0
Brooklyn,NY,920000.0,4.0,2.0,486.0
Brooklyn,NY,1575000.0,7.0,6.0,395.0
Brooklyn,NY,1149000.0,3.0,2.0,478.0
Brooklyn,NY,749900.0,2.0,2.0,647.0
Brooklyn,NY,1795000.0,6.0,3.0,807.0
Brooklyn,NY,749999.0,3.0,3.0,568.0
Brooklyn,NY,259000.0,2.0,1.0,370.0
Brooklyn,NY,900000.0,6.0,4.0,
Brooklyn,NY,749000.0,3.0,2.0,569.0
Brooklyn,NY,1699999.0,4.0,3.0,745.0
Brooklyn,NY,699000.0,2.0,2.0,520.0
Brooklyn,NY,1200000.0,6.0,4.0,408.0
Brooklyn,NY,1100000.0,4.0,2.0,654.0
Brooklyn,NY,1999000.0,12.0,6.0,
Brooklyn,NY,798000.0,3.0,1.0,950.0
Brooklyn,NY,1995000.0,5.0,4.0,593.0
Brooklyn,NY,848000.0,3.0,3.0,592.0
Brooklyn,NY,4500000.0,7.0,4.0,
Brooklyn,NY,879000.0,3.0,2.0,514.0
Brooklyn,NY,1200000.0,7.0,3.0,606.0
Brooklyn,NY,678000.0,2.0,2.0,807.0
Brooklyn,NY,1795000.0,5.0,4.0,664.0
Brooklyn,NY,850000.0,3.0,3.0,619.0
Brooklyn,NY,1590000.0,5.0,5.0,582.0
Brooklyn,NY,425000.0,4.0,1.0,925.0
Brooklyn,NY,1450000.0,6.0,6.0,659.0
Brooklyn,NY,739000.0,3.0,3.0,676.0
Brooklyn,NY,965000.0,2.0,2.0,1019.0
Brooklyn,NY,999900.0,5.0,3.0,427.0
Brooklyn,NY,585000.0,1.0,1.0,931.0
Brooklyn,NY,528000.0,2.0,2.0,480.0
Brooklyn,NY,1550000.0,4.0,3.0,588.0
Brooklyn,NY,1495000.0,2.0,3.0,784.0
Brooklyn,NY,613000.0,1.0,1.0,894.0
Brooklyn,NY,999999.0,7.0,3.0,450.0
Brooklyn,NY,1349000.0,6.0,3.0,473.0
Brooklyn,NY,599000.0,3.0,2.0,531.0
Brooklyn,NY,1895000.0,4.0,3.0,758.0
Brooklyn,NY,1070000.0,3.0,3.0,
Brooklyn,NY,3300000.0,14.0,7.0,604.0
Brooklyn,NY,1550000.0,6.0,6.0,375.0
Brooklyn,NY,619000.0,2.0,1.0,667.0
Brooklyn,NY,1200000.0,3.0,2.0,638.0
Brooklyn,NY,1299000.0,5.0,3.0,393.0
Brooklyn,NY,1599000.0,0.0,1.0,639.0
Brooklyn,NY,545000.0,1.0,1.0,928.0
Brooklyn,NY,1299999.0,7.0,3.0,487.0
Brooklyn,NY,625000.0,1.0,1.0,925.0
Brooklyn,NY,1899999.0,7.0,5.0,
Brooklyn,NY,1675000.0,8.0,3.0,558.0
Brooklyn,NY,499000.0,2.0,1.0,
Brooklyn,NY,795000.0,2.0,2.0,516.0
Brooklyn,NY,1599000.0,14.0,8.0,1162.0
Brooklyn,NY,1100000.0,3.0,3.0,802.0
Brooklyn,NY,1690000.0,12.0,7.0,
Brooklyn,NY,729000.0,2.0,2.0,824.0
Brooklyn,NY,999000.0,7.0,3.0,446.0
Brooklyn,NY,1800000.0,9.0,6.0,545.0
Brooklyn,NY,1350000.0,5.0,3.0,
Brooklyn,NY,1595000.0,5.0,3.0,1933.0
Brooklyn,NY,1500000.0,5.0,3.0,584.0
Brooklyn,NY,459000.0,2.0,2.0,561.0
Brooklyn,NY,1200000.0,5.0,2.0,535.0
Brooklyn,NY,710000.0,3.0,2.0,672.0
Brooklyn,NY,1450000.0,7.0,4.0,537.0
Brooklyn,NY,545000.0,1.0,1.0,
Brooklyn,NY,2280000.0,,0.0,760.0
Brooklyn,NY,799000.0,2.0,2.0,
Brooklyn,NY,549000.0,1.0,1.0,
Brooklyn,NY,1300000.0,7.0,2.0,722.0
Brooklyn,NY,975000.0,5.0,4.0,481.0
Brooklyn,NY,690000.0,1.0,1.0,978.0
Brooklyn,NY,1500000.0,8.0,3.0,555.0
Brooklyn,NY,1199000.0,5.0,3.0,419.0
Brooklyn,NY,685000.0,3.0,2.0,731.0
Brooklyn,NY,999000.0,6.0,4.0,416.0
Brooklyn,NY,698000.0,3.0,1.0,673.0
Brooklyn,NY,725000.0,3.0,3.0,699.0
Brooklyn,NY,979000.0,5.0,4.0,450.0
Brooklyn,NY,210000.0,1.0,1.0,
Brooklyn,NY,788888.0,5.0,2.0,524.0
Brooklyn,NY,1399000.0,4.0,3.0,477.0
Brooklyn,NY,899000.0,3.0,2.0,685.0
Brooklyn,NY,699000.0,3.0,1.0,507.0
Brooklyn,NY,829000.0,3.0,2.0,548.0
Brooklyn,NY,285.0,2.0,1.0,0.0
Brooklyn,NY,729000.0,3.0,2.0,442.0
Brooklyn,NY,819000.0,3.0,2.0,
Brooklyn,NY,1180000.0,6.0,3.0,418.0
Brooklyn,NY,1379000.0,5.0,4.0,626.0
Brooklyn,NY,899000.0,3.0,2.0,402.0
Brooklyn,NY,725000.0,3.0,2.0,
Brooklyn,NY,950000.0,6.0,2.0,
Brooklyn,NY,849000.0,3.0,2.0,592.0
Brooklyn,NY,2680000.0,7.0,7.0,558.0
Brooklyn,NY,698000.0,2.0,2.0,692.0
Brooklyn,NY,839000.0,3.0,3.0,569.0
Brooklyn,NY,1348000.0,8.0,4.0,453.0
Brooklyn,NY,1100000.0,7.0,5.0,
Brooklyn,NY,2750000.0,6.0,4.0,839.0
Brooklyn,NY,2595000.0,6.0,5.0,867.0
Brooklyn,NY,750000.0,1.0,1.0,
Brooklyn,NY,998000.0,4.0,2.0,677.0
Brooklyn,NY,935000.0,2.0,2.0,563.0
Brooklyn,NY,259000.0,2.0,1.0,
Brooklyn,NY,950000.0,5.0,3.0,417.0
Brooklyn,NY,3200000.0,5.0,5.0,603.0
Brooklyn,NY,689000.0,1.0,1.0,937.0
Brooklyn,NY,599999.0,2.0,3.0,515.0
Brooklyn,NY,1300000.0,5.0,3.0,644.0
Brooklyn,NY,939000.0,3.0,2.0,733.0
Brooklyn,NY,950000.0,,3.0,
Brooklyn,NY,1095000.0,7.0,5.0,407.0
Brooklyn,NY,2250000.0,4.0,6.0,750.0
Brooklyn,NY,849000.0,4.0,3.0,524.0
Brooklyn,NY,3600036.0,15.0,7.0,666.0
Brooklyn,NY,630000.0,5.0,3.0,
Brooklyn,NY,1350000.0,7.0,4.0,613.0
Brooklyn,NY,848000.0,4.0,3.0,424.0
Brooklyn,NY,525000.0,1.0,2.0,595.0
Brooklyn,NY,825000.0,3.0,2.0,458.0
Brooklyn,NY,945000.0,8.0,3.0,463.0
Brooklyn,NY,838000.0,3.0,3.0,465.0
Brooklyn,NY,575000.0,1.0,1.0,936.0
Brooklyn,NY,631000.0,2.0,2.0,
Brooklyn,NY,1149000.0,12.0,6.0,207.0
Brooklyn,NY,270000.0,2.0,1.0,
Brooklyn,NY,1150000.0,7.0,3.0,621.0
Brooklyn,NY,215000.0,1.0,1.0,
Brooklyn,NY,900000.0,2.0,2.0,873.0
Brooklyn,NY,729000.0,3.0,3.0,382.0
Brooklyn,NY,1750000.0,5.0,3.0,795.0
Brooklyn,NY,250000.0,2.0,1.0,
Brooklyn,NY,1400000.0,8.0,3.0,424.0
Brooklyn,NY,1149000.0,4.0,4.0,575.0
Brooklyn,NY,1075000.0,4.0,3.0,959.0
Brooklyn,NY,625000.0,1.0,1.0,
Brooklyn,NY,1100000.0,7.0,5.0,961.0
Brooklyn,NY,270000.0,2.0,1.0,317.0
Brooklyn,NY,919000.0,3.0,2.0,549.0
Brooklyn,NY,735000.0,3.0,2.0,597.0
Brooklyn,NY,799000.0,3.0,3.0,640.0
Brooklyn,NY,777000.0,3.0,2.0,634.0
Brooklyn,NY,1300000.0,8.0,4.0,384.0
Brooklyn,NY,1349000.0,5.0,3.0,583.0
Brooklyn,NY,1799000.0,5.0,4.0,413.0
Brooklyn,NY,319000.0,2.0,1.0,319.0
Brooklyn,NY,389000.0,1.0,1.0,648.0
Brooklyn,NY,999000.0,3.0,4.0,507.0
