price,Borough,property_type,Average Income,street_name,Average Rent,bedroom_number
"$1,195,000",Bronx,SINGLE_FAMILY,"$47,036 ",Penfield Street,"$1,401 ",
"$889,000",Bronx,MULTI_FAMILY,"$47,036 ",E 235th Street,"$1,401 ",6.0
"$699,000",Bronx,SINGLE_FAMILY,"$47,036 ",E 239th Street,"$1,401 ",4.0
"$179,000",Bronx,CONDO,"$47,036 ",Webster Ave APT 2E,"$1,401 ",1.0
"$599,000",Bronx,SINGLE_FAMILY,"$47,036 ",E 237th Street,"$1,401 ",3.0
"$849,000",Bronx,MULTI_FAMILY,"$47,036 ",Richardson Avenue,"$1,401 ",
"$925,000",Bronx,MULTI_FAMILY,"$47,036 ",E 235th Street,"$1,401 ",6.0
"$599,000",Bronx,SINGLE_FAMILY,"$47,036 ",Bronx Boulevard,"$1,401 ",3.0
"$1,200,000",Bronx,MULTI_FAMILY,"$47,036 ",Barnes Avenue,"$1,401 ",11.0
"$1,000,000",Bronx,MULTI_FAMILY,"$47,036 ",Barnes Avenue,"$1,401 ",9.0
"$1,000,000",Bronx,MULTI_FAMILY,"$47,036 ",Barnes Avenue,"$1,401 ",8.0
"$1,000,000",Bronx,MULTI_FAMILY,"$47,036 ",Barnes Avenue,"$1,401 ",9.0
"$1,200,000",Bronx,MULTI_FAMILY,"$47,036 ",Barnes Avenue,"$1,401 ",10.0
"$575,000",Bronx,SINGLE_FAMILY,"$47,036 ",E 240th Street,"$1,401 ",3.0
"$990,000",Bronx,MULTI_FAMILY,"$47,036 ",Martha Ave,"$1,401 ",6.0
"$259,000",Bronx,CONDO,"$47,036 ",Webster Ave APT 5E,"$1,401 ",2.0
"$680,000",Bronx,MULTI_FAMILY,"$47,036 ",Richardson Ave,"$1,401 ",3.0
"$1,099,000",Bronx,MULTI_FAMILY,"$47,036 ",Cranford Avenue,"$1,401 ",8.0
"$175,000",Bronx,CONDO,"$47,036 ",E 238th Street UNIT 2D,"$1,401 ",1.0
"$935,000",Bronx,MULTI_FAMILY,"$47,036 ",E 234th Street,"$1,401 ",7.0
"$679,000",Bronx,MULTI_FAMILY,"$47,036 ",Carpenter Avenue,"$1,401 ",8.0
"$225,000",Bronx,CONDO,"$47,036 ",Van Cortlandt Park East UNIT 6N,"$1,401 ",2.0
"$599,000",Bronx,SINGLE_FAMILY,"$47,036 ",Carpenter Avenue,"$1,401 ",3.0
"$849,000",Bronx,APARTMENT,"$47,036 ",Richardson Ave #B,"$1,401 ",4.0
"$159,900",Bronx,CONDO,"$47,036 ",Webster Avenue UNIT 2D,"$1,401 ",1.0
"$165,000",Bronx,CONDO,"$47,036 ",Vireo Ave APT 3R,"$1,401 ",1.0
"$835,000",Bronx,MULTI_FAMILY,"$47,036 ",Carpenter Avenue,"$1,401 ",6.0
"$575,000",Bronx,MULTI_FAMILY,"$47,036 ",Wilder Ave,"$1,401 ",3.0
"$179,000",Bronx,CONDO,"$47,036 ",Vireo Avenue UNIT 1D,"$1,401 ",1.0
"$124,000",Bronx,CONDO,"$47,036 ",Van Cortlandt Park E UNIT 2B,"$1,401 ",0.0
"$225,000",Bronx,CONDO,"$47,036 ",Van Cortlandt Parkway E UNIT 3N,"$1,401 ",2.0
"$699,000",Bronx,SINGLE_FAMILY,"$47,036 ",Vireo Ave,"$1,401 ",3.0
"$175,000",Bronx,CONDO,"$47,036 ",Webster Avenue UNIT 1A,"$1,401 ",1.0
"$159,000",Bronx,CONDO,"$47,036 ",Herkimer Place UNIT LA,"$1,401 ",1.0
"$159,900",Bronx,CONDO,"$47,036 ",Webster Avenue UNIT 3H,"$1,401 ",1.0
"$849,000",Bronx,MULTI_FAMILY,"$47,036 ",E 238th Street,"$1,401 ",5.0
"$495,500",Bronx,SINGLE_FAMILY,"$47,036 ",E 240th Street,"$1,401 ",2.0
"$949,000",Bronx,MULTI_FAMILY,"$47,036 ",Katonah Avenue,"$1,401 ",5.0
"$975,000",Bronx,MULTI_FAMILY,"$47,036 ",Carpenter Avenue,"$1,401 ",6.0
"$554,999",Bronx,SINGLE_FAMILY,"$47,036 ",Hoxie Street,"$1,401 ",3.0
"$599,999",Bronx,LOT,"$47,036 ",E 239th Street,"$1,401 ",
"$149,900",Bronx,CONDO,"$47,036 ",Van Cortlandt Park East UNIT 2T,"$1,401 ",1.0
"$560,000",Bronx,SINGLE_FAMILY,"$47,036 ",E 240th St,"$1,401 ",0.0
"$619,000",Bronx,SINGLE_FAMILY,"$47,036 ",E 238th Street,"$1,401 ",4.0
"$600,000",Bronx,SINGLE_FAMILY,"$47,036 ",Bronx Blvd #B,"$1,401 ",3.0
"$629,999",Bronx,CONDO,"$47,036 ",Bronx Blvd #ROY,"$1,401 ",3.0
"$649,999",Bronx,SINGLE_FAMILY,"$47,036 ",E 239th Street,"$1,401 ",3.0
"$775,000",Bronx,APARTMENT,"$47,036 ",E 241st St #1,"$1,401 ",5.0
"$765,000",Bronx,MULTI_FAMILY,"$47,036 ",Robertson Street,"$1,401 ",4.0
"$750,000",Bronx,SINGLE_FAMILY,"$47,036 ",E 235th Street,"$1,401 ",4.0
"$1,050,000",Bronx,MULTI_FAMILY,"$47,036 ",E 235th Street,"$1,401 ",6.0
"$750,000",Bronx,MULTI_FAMILY,"$47,036 ",E 240th Street,"$1,401 ",7.0
"$599,999",Bronx,SINGLE_FAMILY,"$47,036 ",Bronx Blvd,"$1,401 ",3.0
"$599,999",Bronx,CONDO,"$47,036 ",Bronx Blvd #2,"$1,401 ",3.0
"$165,000",Bronx,CONDO,"$47,036 ",E 238th Street UNIT 5C,"$1,401 ",1.0
"$149,000",Bronx,CONDO,"$47,036 ",Webster Avenue UNIT 6J,"$1,401 ",1.0
"$640,000",Bronx,MULTI_FAMILY,"$47,036 ",E 242nd Street,"$1,401 ",4.0
"$599,999",Bronx,CONDO,"$47,036 ",Bronx Blvd #1,"$1,401 ",3.0
"$325,000",Bronx,SINGLE_FAMILY,"$47,036 ",Carpenter Avenue,"$1,401 ",3.0
"$599,999",Bronx,CONDO,"$47,036 ",Bronx Blvd #R,"$1,401 ",3.0
"$599,999",Bronx,SINGLE_FAMILY,"$47,036 ",Bronx Blvd,"$1,401 ",3.0
"$749,000",Bronx,MULTI_FAMILY,"$47,036 ",Kepler Avenue,"$1,401 ",6.0
"$749,000",Bronx,MULTI_FAMILY,"$47,036 ",Kepler Avenue,"$1,401 ",6.0
"$700,000",Bronx,MULTI_FAMILY,"$47,036 ",Richardson Avenue,"$1,401 ",
"$780,000",Bronx,MULTI_FAMILY,"$47,036 ",Robertson St,"$1,401 ",4.0
"$179,900",Bronx,CONDO,"$47,036 ",Webster Avenue UNIT 1E,"$1,401 ",1.0
"$499,000",Bronx,SINGLE_FAMILY,"$47,036 ",Barnes Ave,"$1,401 ",3.0
"$499,900",Bronx,CONDO,"$47,036 ",Independence Ave APT 12J,"$1,401 ",2.0
"$450,000",Bronx,CONDO,"$47,036 ",Johnson Avenue UNIT 5S,"$1,401 ",1.0
"$199,900",Bronx,CONDO,"$47,036 ",Waldo Ave APT 8R,"$1,401 ",1.0
"$200,000",Bronx,CONDO,"$47,036 ",Riverdale Ave APT 4K,"$1,401 ",1.0
"$324,900",Bronx,CONDO,"$47,036 ",W 232nd Street UNIT 16D,"$1,401 ",2.0
"$235,000",Bronx,CONDO,"$47,036 ",Fieldston Rd APT 7A,"$1,401 ",1.0
"$235,000",Bronx,CONDO,"$47,036 ",Fieldston Rd APT 6H,"$1,401 ",1.0
"$349,000",Bronx,CONDO,"$47,036 ",Johnson Ave APT 5H,"$1,401 ",1.0
"$349,000",Bronx,CONDO,"$47,036 ",W 232nd St APT 1J,"$1,401 ",2.0
"$1,100,000",Bronx,CONDO,"$47,036 ",Palisade Ave APT 8C,"$1,401 ",3.0
"$325,000",Bronx,CONDO,"$47,036 ",Cambridge Ave APT 3E,"$1,401 ",1.0
"$469,000",Bronx,CONDO,"$47,036 ",Hudson Manor Ter #3F,"$1,401 ",3.0
"$230,000",Bronx,CONDO,"$47,036 ",Greystone Avenue UNIT 5-A,"$1,401 ",1.0
"$320,000",Bronx,CONDO,"$47,036 ",Van Cortlandt Park S APT 5L,"$1,401 ",2.0
"$97,762",Bronx,CONDO,"$47,036 ",Knolls Cres APT 9F,"$1,401 ",1.0
"$225,000",Bronx,CONDO,"$47,036 ",Independence Avenue UNIT 5-R,"$1,401 ",1.0
"$359,000",Bronx,CONDO,"$47,036 ",Hudson Manor Ter APT 17M,"$1,401 ",1.0
"$199,900",Bronx,CONDO,"$47,036 ",Independence Ave APT 2K,"$1,401 ",0.0
"$238,000",Bronx,CONDO,"$47,036 ",Greystone Ave APT 604,"$1,401 ",1.0
"$359,000",Bronx,CONDO,"$47,036 ",Johnson Ave APT 5F,"$1,401 ",2.0
"$450,000",Bronx,CONDO,"$47,036 ",Kappock Street UNIT 207,"$1,401 ",2.0
"$239,000",Bronx,CONDO,"$47,036 ",Kappock St APT 3P,"$1,401 ",1.0
"$599,000",Bronx,CONDO,"$47,036 ",Hudson Manor Ter APT 10J,"$1,401 ",2.0
"$329,000",Bronx,CONDO,"$47,036 ",Kingsbridge UNIT 7V - 7VA,"$1,401 ",3.0
"$349,999",Bronx,CONDO,"$47,036 ",Kingsbridge UNIT 4H,"$1,401 ",3.0
"$619,000",Bronx,CONDO,"$47,036 ",W 236th St APT 3C,"$1,401 ",2.0
"$349,000",Bronx,CONDO,"$47,036 ",Henry Hudson Pkwy W APT 5E,"$1,401 ",1.0
"$559,000",Bronx,CONDO,"$47,036 ",Johnson Ave APT 7C,"$1,401 ",2.0
"$344,900",Bronx,CONDO,"$47,036 ",W 238th St APT 2K,"$1,401 ",2.0
"$365,000",Bronx,CONDO,"$47,036 ",Hudson Manor Ter APT 1DE,"$1,401 ",2.0
"$168,000",Bronx,CONDO,"$47,036 ",Kingsbridge Ter APT 1B,"$1,401 ",1.0
"$235,000",Bronx,CONDO,"$47,036 ",Waldo Ave APT 8J,"$1,401 ",2.0
"$179,000",Bronx,CONDO,"$47,036 ",Fairfield Ave APT 3D,"$1,401 ",1.0
"$319,900",Bronx,CONDO,"$47,036 ",Cambridge Avenue UNIT LH,"$1,401 ",2.0
"$1,150,000",Bronx,CONDO,"$47,036 ",Cambridge Ave APT 7E,"$1,401 ",3.0
"$1,200,000",Bronx,MULTI_FAMILY,"$47,036 ",Bailey Place,"$1,401 ",7.0
"$342,500",Bronx,CONDO,"$47,036 ",Fieldston Rd APT 7B,"$1,401 ",2.0
"$275,000",Bronx,CONDO,"$47,036 ",Oxford Avenue UNIT 1B,"$1,401 ",1.0
"$220,000",Bronx,CONDO,"$47,036 ",Johnson Avenue UNIT 1D,"$1,401 ",1.0
"$1,175,000",Bronx,APARTMENT,"$47,036 ",Fort Independence St #1,"$1,401 ",6.0
"$349,000",Bronx,CONDO,"$47,036 ",Palisade Ave,"$1,401 ",1.0
"$349,000",Bronx,CONDO,"$47,036 ",Fairfield Ave APT 11F,"$1,401 ",2.0
"$799,000",Bronx,CONDO,"$47,036 ",W 237th St APT 2D,"$1,401 ",2.0
"$210,000",Bronx,CONDO,"$47,036 ",Johnson Ave APT 3A,"$1,401 ",1.0
"$275,000",Bronx,CONDO,"$47,036 ",Sedgwick Ave APT 8A,"$1,401 ",2.0
"$274,900",Bronx,CONDO,"$47,036 ",Kappock Street UNIT 6m,"$1,401 ",1.0
"$385,000",Bronx,CONDO,"$47,036 ",Kappock St APT 10C,"$1,401 ",2.0
"$875,000",Bronx,MULTI_FAMILY,"$47,036 ",Bailey Ave,"$1,401 ",4.0
"$349,000",Bronx,CONDO,"$47,036 ",Fieldston Rd APT 7C,"$1,401 ",2.0
"$995,000",Bronx,MULTI_FAMILY,"$47,036 ",Kingsbridge Ter,"$1,401 ",6.0
"$234,900",Bronx,CONDO,"$47,036 ",Arlington Ave APT 6G,"$1,401 ",1.0
"$2,295,000",Bronx,CONDO,"$47,036 ",W 237th St APT 14C,"$1,401 ",5.0
"$649,000",Bronx,CONDO,"$47,036 ",W 238th St APT 3H,"$1,401 ",3.0
"$569,000",Bronx,CONDO,"$47,036 ",Kappock St APT 2H,"$1,401 ",3.0
"$350,000",Bronx,CONDO,"$47,036 ",Greystone Ave APT 3M,"$1,401 ",2.0
"$249,000",Bronx,CONDO,"$47,036 ",W 238th St APT 4K,"$1,401 ",2.0
"$275,000",Bronx,CONDO,"$47,036 ",Riverdale Ave APT 1E,"$1,401 ",2.0
"$330,000",Bronx,CONDO,"$47,036 ",Greystone Avenue UNIT 4N,"$1,401 ",2.0
"$210,000",Bronx,CONDO,"$47,036 ",Sedgwick Ave #6L,"$1,401 ",2.0
"$349,000",Bronx,CONDO,"$47,036 ",Henry Hudson Pkwy APT 6B,"$1,401 ",1.0
"$315,000",Bronx,CONDO,"$47,036 ",Henry Hudson Pkwy APT 22K,"$1,401 ",1.0
"$225,000",Bronx,CONDO,"$47,036 ",Johnson Ave APT 4E,"$1,401 ",1.0
"$160,000",Bronx,CONDO,"$47,036 ",Kingsbridge Terrace UNIT 3U,"$1,401 ",1.0
"$240,000",Bronx,CONDO,"$47,036 ",Riverdale Avenue UNIT 4F,"$1,401 ",1.0
"$375,000",Bronx,CONDO,"$47,036 ",Kappock St APT 6D,"$1,401 ",2.0
"$259,000",Bronx,CONDO,"$47,036 ",Kappock St APT 12K,"$1,401 ",1.0
"$169,900",Bronx,CONDO,"$47,036 ",Fieldston Rd APT 6G,"$1,401 ",0.0
"$365,000",Bronx,CONDO,"$47,036 ",Palisade Ave APT 3B,"$1,401 ",2.0
"$695,000",Bronx,CONDO,"$47,036 ",Waldo Avenue UNIT 4C,"$1,401 ",3.0
"$359,000",Bronx,CONDO,"$47,036 ",Palisade Ave #1F,"$1,401 ",1.0
"$275,000",Bronx,CONDO,"$47,036 ",Henry Hudson Parkway UNIT 3E,"$1,401 ",2.0
"$249,900",Bronx,CONDO,"$47,036 ",Palisade Ave APT 1G,"$1,401 ",1.0
"$549,000",Bronx,CONDO,"$47,036 ",Kappock St APT 507,"$1,401 ",2.0
"$324,900",Bronx,CONDO,"$47,036 ",W 239th St APT 4D,"$1,401 ",1.0
"$799,000",Bronx,CONDO,"$47,036 ",Palisade Ave #6FG,"$1,401 ",3.0
"$319,000",Bronx,CONDO,"$47,036 ",Arlington Ave,"$1,401 ",2.0
"$390,000",Bronx,CONDO,"$47,036 ",Johnson Avenue UNIT 8H,"$1,401 ",1.0
"$232,500",Bronx,CONDO,"$47,036 ",Independence Ave APT 2F,"$1,401 ",1.0
"$375,000",Bronx,CONDO,"$47,036 ",Kappock St APT 409,"$1,401 ",1.0
"$999,000",Bronx,MULTI_FAMILY,"$47,036 ",Orloff Avenue,"$1,401 ",9.0
"$875,000",Bronx,MULTI_FAMILY,"$47,036 ",Lacombe Avenue,"$1,401 ",8.0
"$880,000",Bronx,MULTI_FAMILY,"$47,036 ",Commonwealth Avenue,"$1,401 ",6.0
"$850,000",Bronx,MULTI_FAMILY,"$47,036 ",Saint Lawrence Avenue,"$1,401 ",6.0
"$799,000",Bronx,MULTI_FAMILY,"$47,036 ",Stanton Court,"$1,401 ",5.0
"$469,000",Bronx,SINGLE_FAMILY,"$47,036 ",Obrien Avenue,"$1,401 ",3.0
"$165,000",Bronx,CONDO,"$47,036 ",Metcalf Ave APT 14L,"$1,401 ",1.0
"$500,000",Bronx,MULTI_FAMILY,"$47,036 ",Thieriot Avenue,"$1,401 ",6.0
"$180,000",Bronx,LOT,"$47,036 ",Soundview Avenue LOT 19,"$1,401 ",
"$290,000",Bronx,CONDO,"$47,036 ",Morrison Ave APT 2C,"$1,401 ",2.0
"$579,000",Bronx,SINGLE_FAMILY,"$47,036 ",Harding,"$1,401 ",3.0
"$849,000",Bronx,MULTI_FAMILY,"$47,036 ",Underhill Avenue,"$1,401 ",7.0
"$360,000",Bronx,CONDO,"$47,036 ",Leland Avenue UNIT C,"$1,401 ",2.0
"$569,999",Bronx,MULTI_FAMILY,"$47,036 ",Cicero Avenue,"$1,401 ",5.0
"$264,800",Bronx,CONDO,"$47,036 ",Johnson Ave #E,"$1,401 ",1.0
"$679,000",Bronx,SINGLE_FAMILY,"$47,036 ",Homer Avenue,"$1,401 ",4.0
"$235,000",Bronx,CONDO,"$47,036 ",Oxford Ave APT L1,"$1,401 ",1.0
"$579,000",Bronx,SINGLE_FAMILY,"$47,036 ",Betts Avenue,"$1,401 ",2.0
"$395,000",Bronx,CONDO,"$47,036 ",Henry Hudson Pkwy APT 14T,"$1,401 ",2.0
"$649,000",Bronx,CONDO,"$47,036 ",Johnson Ave APT 2C,"$1,401 ",3.0
"$365,000",Bronx,CONDO,"$47,036 ",Leland Avenue UNIT 27C,"$1,401 ",2.0
"$259,000",Bronx,CONDO,"$47,036 ",Kappock St APT 6N,"$1,401 ",1.0
"$785,000",Bronx,SINGLE_FAMILY,"$47,036 ",Beach Avenue,"$1,401 ",6.0
"$209,000",Bronx,CONDO,"$47,036 ",W 239th St APT 4A,"$1,401 ",1.0
"$1,174,000",Bronx,MULTI_FAMILY,"$47,036 ",Story Avenue,"$1,401 ",7.0
"$230,000",Bronx,CONDO,"$47,036 ",Riverdale Ave APT 2F,"$1,401 ",1.0
"$350,000",Bronx,SINGLE_FAMILY,"$47,036 ",Olmstead Avenue,"$1,401 ",3.0
"$639,000",Bronx,CONDO,"$47,036 ",Palisade Ave APT 8C,"$1,401 ",2.0
"$329,000",Bronx,CONDO,"$47,036 ",Morrison Avenue UNIT 6F,"$1,401 ",2.0
"$184,995",Bronx,CONDO,"$47,036 ",Kappock St APT 16A,"$1,401 ",1.0
"$700,000",Bronx,MULTI_FAMILY,"$47,036 ",Olmstead Avenue,"$1,401 ",7.0
"$299,000",Bronx,CONDO,"$47,036 ",W 238th St APT 2J,"$1,401 ",3.0
"$625,000",Bronx,SINGLE_FAMILY,"$47,036 ",Lacombe Ave,"$1,401 ",4.0
"$405,000",Bronx,CONDO,"$47,036 ",Henry Hudson Pkwy APT 1C,"$1,401 ",2.0
"$875,000",Bronx,MULTI_FAMILY,"$47,036 ",Fteley Ave,"$1,401 ",6.0
"$525,000",Bronx,CONDO,"$47,036 ",Fairfield Ave APT 3D,"$1,401 ",3.0
"$325,000",Bronx,CONDO,"$47,036 ",Boynton UNIT 18F,"$1,401 ",2.0
"$240,000",Bronx,CONDO,"$47,036 ",Fieldston Rd APT 4K,"$1,401 ",1.0
"$949,000",Bronx,MULTI_FAMILY,"$47,036 ",Fteley Avenue,"$1,401 ",8.0
"$610,000",Bronx,CONDO,"$47,036 ",Hudson Manor Ter APT 14J,"$1,401 ",2.0
"$629,900",Bronx,SINGLE_FAMILY,"$47,036 ",Saint Lawrence Avenue,"$1,401 ",3.0
"$219,995",Bronx,CONDO,"$47,036 ",Tibbett Ave APT 4E,"$1,401 ",1.0
"$675,000",Bronx,SINGLE_FAMILY,"$47,036 ",Olmstead Avenue,"$1,401 ",3.0
"$142,999",Bronx,CONDO,"$47,036 ",Riverdale Ave APT 2G,"$1,401 ",0.0
"$799,900",Bronx,MULTI_FAMILY,"$47,036 ",Lacombe Avenue,"$1,401 ",6.0
"$250,000",Bronx,CONDO,"$47,036 ",Riverdale Ave APT 2B,"$1,401 ",1.0
"$1,100,000",Bronx,MULTI_FAMILY,"$47,036 ",Taylor Avenue,"$1,401 ",9.0
"$1,099,000",Bronx,CONDO,"$47,036 ",W 237th St APT 5B,"$1,401 ",3.0
"$327,000",Bronx,CONDO,"$47,036 ",Elder Avenue UNIT 901A,"$1,401 ",2.0
"$439,000",Bronx,CONDO,"$47,036 ",W 239th St APT 5D,"$1,401 ",2.0
"$969,000",Bronx,MULTI_FAMILY,"$47,036 ",Patterson Ave,"$1,401 ",9.0
"$850,000",Bronx,CONDO,"$47,036 ",Palisade Ave APT 10H,"$1,401 ",3.0
"$889,000",Bronx,MULTI_FAMILY,"$47,036 ",Bruckner Blvd,"$1,401 ",7.0
"$99,999",Bronx,CONDO,"$47,036 ",Kings Bridge Ter #4Q,"$1,401 ",0.0
"$450,000",Bronx,CONDO,"$47,036 ",Surf Drive UNIT 110,"$1,401 ",3.0
"$319,000",Bronx,CONDO,"$47,036 ",Riverdale Ave APT 3K,"$1,401 ",1.0
"$549,000",Bronx,SINGLE_FAMILY,"$47,036 ",Harding Park,"$1,401 ",3.0
"$219,000",Bronx,CONDO,"$47,036 ",Palisade Avenue UNIT 2G,"$1,401 ",1.0
"$537,000",Bronx,SINGLE_FAMILY,"$47,036 ",Rudd Place,"$1,401 ",3.0
"$219,000",Bronx,CONDO,"$47,036 ",Palisade Ave,"$1,401 ",2.0
"$539,000",Bronx,CONDO,"$47,036 ",Beacon Lane UNIT 102,"$1,401 ",4.0
"$589,000",Bronx,CONDO,"$47,036 ",Johnson Ave PENTHOUSE P,"$1,401 ",2.0
"$680,000",Bronx,MULTI_FAMILY,"$47,036 ",Howe Avenue,"$1,401 ",4.0
"$315,000",Bronx,CONDO,"$47,036 ",W 238th St APT 6B,"$1,401 ",2.0
"$679,999",Bronx,SINGLE_FAMILY,"$47,036 ",Newman Avenue,"$1,401 ",3.0
"$225,000",Bronx,CONDO,"$47,036 ",Kappock Street UNIT 5E,"$1,401 ",1.0
"$549,000",Bronx,CONDO,"$47,036 ",Heron Lane UNIT 455,"$1,401 ",3.0
"$195,000",Bronx,CONDO,"$47,036 ",Kappock Street UNIT 4U,"$1,401 ",1.0
"$350,000",Bronx,CONDO,"$47,036 ",Leland Avenue UNIT 27B,"$1,401 ",2.0
"$355,000",Bronx,CONDO,"$47,036 ",Arlington Avenue UNIT 3J,"$1,401 ",2.0
"$349,000",Bronx,CONDO,"$47,036 ",Johnson Ave APT 7F,"$1,401 ",1.0
"$265,000",Bronx,CONDO,"$47,036 ",Independence Ave APT 5D,"$1,401 ",1.0
"$550,000",Bronx,SINGLE_FAMILY,"$47,036 ",Fort Independence Street,"$1,401 ",4.0
"$3,300,000",Bronx,SINGLE_FAMILY,"$47,036 ",Scenic Pl,"$1,401 ",5.0
"$365,000",Bronx,CONDO,"$47,036 ",Henry Hudson Pkwy PENTHOUSE F,"$1,401 ",2.0
"$1,599,999",Bronx,MULTI_FAMILY,"$47,036 ",Kingsbridge Terrace,"$1,401 ",11.0
"$150,000",Bronx,CONDO,"$47,036 ",Bailey Avenue UNIT 5H,"$1,401 ",1.0
"$425,000",Bronx,CONDO,"$47,036 ",W 239th St APT 6D,"$1,401 ",3.0
"$325,000",Bronx,CONDO,"$47,036 ",Tibbett Ave APT 6G,"$1,401 ",2.0
"$199,500",Bronx,CONDO,"$47,036 ",Kappock St APT 7B,"$1,401 ",1.0
"$250,000",Bronx,CONDO,"$47,036 ",Fairfield Ave APT 2C,"$1,401 ",2.0
"$635,000",Bronx,SINGLE_FAMILY,"$47,036 ",Olmstead Avenue,"$1,401 ",5.0
"$549,000",Bronx,CONDO,"$47,036 ",Surf Drive UNIT 138,"$1,401 ",3.0
"$449,000",Bronx,CONDO,"$47,036 ",Fleet Court,"$1,401 ",2.0
"$520,000",Bronx,SINGLE_FAMILY,"$47,036 ",Harding Park,"$1,401 ",3.0
"$534,000",Bronx,CONDO,"$47,036 ",Mermaid Lane UNIT 280,"$1,401 ",3.0
"$649,999",Bronx,SINGLE_FAMILY,"$47,036 ",Seward Avenue,"$1,401 ",3.0
"$599,000",Bronx,SINGLE_FAMILY,"$47,036 ",Cornell Avenue,"$1,401 ",3.0
"$649,000",Bronx,SINGLE_FAMILY,"$47,036 ",Torry Avenue,"$1,401 ",3.0
"$639,000",Bronx,TOWNHOUSE,"$47,036 ",White Plains Road,"$1,401 ",3.0
"$389,000",Bronx,CONDO,"$47,036 ",Fleet Court UNIT 16210,"$1,401 ",2.0
"$235,000",Bronx,LOT,"$47,036 ",Stephens Avenue,"$1,401 ",
"$799,999",Bronx,MULTI_FAMILY,"$47,036 ",Lacombe Avenue,"$1,401 ",7.0
"$340,000",Bronx,CONDO,"$47,036 ",Elder Avenue UNIT 917C,"$1,401 ",3.0
"$849,000",Bronx,MULTI_FAMILY,"$47,036 ",Commonwealth Avenue,"$1,401 ",7.0
"$425,000",Bronx,CONDO,"$47,036 ",Sunset Boulevard UNIT 12210,"$1,401 ",2.0
"$389,000",Bronx,CONDO,"$47,036 ",Sunset Boulevard UNIT 10115,"$1,401 ",2.0
"$650,000",Bronx,MULTI_FAMILY,"$47,036 ",Underhill Avenue,"$1,401 ",4.0
"$319,000",Bronx,CONDO,"$47,036 ",Johnson Ave APT 1E,"$1,401 ",1.0
"$669,888",Bronx,SINGLE_FAMILY,"$47,036 ",Bruckner Boulevard,"$1,401 ",4.0
