price,monthly_payment,"Median household income (in 2022 dollars), 2018-2022",bedroom_number,property_type,Borough,can_afford
749000.0,4838.101400621325,,4.0,MULTI_FAMILY,Queens,0
529000.0,3417.030228209187,,3.0,SINGLE_FAMILY,Queens,0
529000.0,3417.030228209187,,3.0,SINGLE_FAMILY,Queens,0
275000.0,1776.3389655151727,,3.0,SINGLE_FAMILY,Queens,0
575000.0,3714.163291531725,,2.0,SINGLE_FAMILY,Queens,0
649999.0,4198.612913621443,,3.0,SINGLE_FAMILY,Queens,0
439999.0,2842.1358854098557,,2.4719502074688795,LOT,Queens,0
575000.0,3714.163291531725,,3.0,SINGLE_FAMILY,Queens,0
800000.0,5167.531536044139,,6.0,MULTI_FAMILY,Queens,0
1200000.0,7751.297304066208,,6.0,MULTI_FAMILY,Queens,0
800000.0,5167.531536044139,,3.0,MULTI_FAMILY,Queens,0
669000.0,4321.348247016911,,3.0,SINGLE_FAMILY,Queens,0
2600000.0,16794.47749214345,,2.4719502074688795,SINGLE_FAMILY,Queens,0
579999.0,3746.453904217581,,3.0,SINGLE_FAMILY,Queens,0
675000.0,4360.104733537241,,3.0,TOWNHOUSE,Queens,0
649000.0,4192.159958615808,,3.0,SINGLE_FAMILY,Queens,0
749000.0,4838.101400621325,,4.0,SINGLE_FAMILY,Queens,0
585000.0,3778.7574357322774,,2.0,SINGLE_FAMILY,Queens,0
599000.0,3869.1892376130486,,2.0,SINGLE_FAMILY,Queens,0
625000.0,4037.134012534484,,5.0,SINGLE_FAMILY,Queens,0
1270000.0,8203.456313470071,,6.0,MULTI_FAMILY,Queens,0
874900.0,5651.341676106272,,6.0,MULTI_FAMILY,Queens,0
749000.0,4838.101400621325,,3.0,SINGLE_FAMILY,Queens,0
699000.0,4515.130679618566,,3.0,SINGLE_FAMILY,Queens,0
729999.0,4715.366067225857,,3.0,SINGLE_FAMILY,Queens,0
625000.0,4037.134012534484,,3.0,TOWNHOUSE,Queens,0
625000.0,4037.134012534484,,3.0,SINGLE_FAMILY,Queens,0
950000.0,6136.4436990524155,,4.0,MULTI_FAMILY,Queens,0
998000.0,6446.4955912150635,,4.0,MULTI_FAMILY,Queens,0
659000.0,4256.75410281636,,3.0,SINGLE_FAMILY,Queens,0
599000.0,3869.1892376130486,,4.0,SINGLE_FAMILY,Queens,0
579999.0,3746.453904217581,,3.0,SINGLE_FAMILY,Queens,0
579999.0,3746.453904217581,,3.0,SINGLE_FAMILY,Queens,0
499000.0,3223.2477956075318,,3.0,SINGLE_FAMILY,Queens,0
639000.0,4127.565814415256,,3.0,SINGLE_FAMILY,Queens,0
719000.0,4644.31896801967,,4.0,CONDO,Queens,0
699000.0,4515.130679618566,,4.0,SINGLE_FAMILY,Queens,0
1399999.0,9043.173728662823,,7.0,MULTI_FAMILY,Queens,0
1399999.0,9043.173728662823,,7.0,MULTI_FAMILY,Queens,0
499950.0,3229.384239306584,,3.0,SINGLE_FAMILY,Queens,0
499000.0,3223.2477956075318,,3.0,SINGLE_FAMILY,Queens,0
999000.0,6452.955005635118,,6.0,MULTI_FAMILY,Queens,0
599998.0,3875.635733204264,,3.0,SINGLE_FAMILY,Queens,0
659000.0,4256.75410281636,,3.0,SINGLE_FAMILY,Queens,0
679.0,4.385942391217463,,3.0,SINGLE_FAMILY,Queens,0
400000.0,2583.7657680220696,,3.0,SINGLE_FAMILY,Queens,0
1125000.0,7266.8412225620705,,6.0,MULTI_FAMILY,Queens,0
1100000.0,7105.355862060691,,6.0,SINGLE_FAMILY,Queens,0
775000.0,5006.04617554276,,4.0,MULTI_FAMILY,Queens,0
899000.0,5807.013563629602,,4.0,MULTI_FAMILY,Queens,0
599000.0,3869.1892376130486,,3.0,SINGLE_FAMILY,Queens,0
780000.0,5038.343247643035,,4.0,SINGLE_FAMILY,Queens,0
599000.0,3869.1892376130486,,4.0,MULTI_FAMILY,Queens,0
525000.0,3391.192570528966,,3.0,SINGLE_FAMILY,Queens,0
1100000.0,7105.355862060691,,6.0,MULTI_FAMILY,Queens,0
490000.0,3165.1130658270354,,3.0,SINGLE_FAMILY,Queens,0
699000.0,4515.130679618566,,4.0,SINGLE_FAMILY,Queens,0
693000.0,4476.374193098236,,4.0,SINGLE_FAMILY,Queens,0
1299999.0,8397.232286657305,,6.0,MULTI_FAMILY,Queens,0
599998.0,3875.635733204264,,3.0,SINGLE_FAMILY,Queens,0
579900.0,3745.814422189995,,3.0,SINGLE_FAMILY,Queens,0
299000.0,1931.364911596497,,3.0,SINGLE_FAMILY,Queens,0
450000.0,2906.7364890248277,,0.0,SINGLE_FAMILY,Queens,0
669000.0,4321.348247016911,,3.0,SINGLE_FAMILY,Queens,0
649000.0,4192.159958615808,,3.0,CONDO,Queens,0
280000.0,1808.6360376154487,,3.0,SINGLE_FAMILY,Queens,0
1100000.0,7105.355862060691,,6.0,MULTI_FAMILY,Queens,0
729000.0,4708.9131122202225,,4.0,SINGLE_FAMILY,Queens,0
1100000.0,7105.355862060691,,6.0,CONDO,Queens,0
649000.0,4192.159958615808,,3.0,SINGLE_FAMILY,Queens,0
649000.0,4192.159958615808,,3.0,SINGLE_FAMILY,Queens,0
459000.0,2964.8712188053246,,2.0,SINGLE_FAMILY,Queens,0
595000.0,3843.351579932829,,3.0,SINGLE_FAMILY,Queens,0
575000.0,3714.163291531725,,4.0,SINGLE_FAMILY,Queens,0
749000.0,4838.101400621325,,4.0,MULTI_FAMILY,Queens,0
499999.0,3229.700750613167,,2.0,SINGLE_FAMILY,Queens,0
2350000.0,15179.623887129657,,15.0,APARTMENT,Queens,0
630000.0,4069.4310846347603,,8.0,MULTI_FAMILY,Queens,0
299000.0,1931.364911596497,,2.0,CONDO,Queens,0
615000.0,3972.5398683339317,,3.0,SINGLE_FAMILY,Queens,0
2350000.0,15179.623887129657,,15.0,MULTI_FAMILY,Queens,0
499000.0,3223.2477956075318,,2.0,SINGLE_FAMILY,Queens,0
249000.0,1608.3941905937381,,1.0,CONDO,Queens,0
1888888.0,12201.110385069174,,4.0,SINGLE_FAMILY,Queens,0
1695000.0,10948.70744199352,,0.0,SINGLE_FAMILY,Queens,0
625000.0,4037.134012534484,,2.0,SINGLE_FAMILY,Queens,0
184000.0,1188.532253290152,,0.0,CONDO,Queens,0
998000.0,6446.4955912150635,,4.0,SINGLE_FAMILY,Queens,0
1800000.0,11626.945956099311,,4.0,SINGLE_FAMILY,Queens,0
725000.0,4683.075454540001,,4.0,SINGLE_FAMILY,Queens,0
258888.0,1672.264880379244,,1.0,APARTMENT,Queens,0
299000.0,1931.364911596497,,2.0,CONDO,Queens,0
325000.0,2099.3096865179314,,2.0,CONDO,Queens,0
184000.0,1188.532253290152,,0.0,SINGLE_FAMILY,Queens,0
235000.0,1517.9623887129658,,1.0,CONDO,Queens,0
338000.0,2183.282073978649,,2.0,CONDO,Queens,0
246000.0,1589.0159473335723,,1.0,CONDO,Queens,0
325000.0,2099.3096865179314,,0.0,SINGLE_FAMILY,Queens,0
155000.0,1001.209235108552,,0.0,CONDO,Queens,0
789000.0,5096.477977423532,,4.0,SINGLE_FAMILY,Queens,0
295000.0,1905.5272539162759,,2.0,CONDO,Queens,0
260000.0,1679.447749214345,,2.0,CONDO,Queens,0
729000.0,4708.9131122202225,,3.0,SINGLE_FAMILY,Queens,0
995000.0,6427.117347954897,,4.0,SINGLE_FAMILY,Queens,0
799000.0,5161.072121624084,,3.0,MULTI_FAMILY,Queens,0
349000.0,2254.3356325992554,,3.0,CONDO,Queens,0
865000.0,5587.3934733477245,,3.0,TOWNHOUSE,Queens,0
1100000.0,7105.355862060691,,5.0,MULTI_FAMILY,Queens,0
540000.0,3488.0837868297936,,3.0,SINGLE_FAMILY,Queens,0
1299000.0,8390.779331651669,,8.0,MULTI_FAMILY,Queens,0
1100000.0,7105.355862060691,,6.0,MULTI_FAMILY,Queens,0
