Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,534507,814624,530996,452135
2005-02-01,552345,819306,531509,454746
2005-03-01,563200,821173,535626,449997
2005-04-01,569443,829513,540418,456296
2005-05-01,569679,843594,547821,463998
2005-06-01,589985,861067,558793,464796
2005-07-01,600654,875794,568183,472263
2005-08-01,608283,891008,576926,480858
2005-09-01,615225,905036,583737,483656
2005-10-01,615581,915556,588436,487748
2005-11-01,621556,923417,594757,495032
2005-12-01,624900,923100,596477,498028
2006-01-01,616218,924603,596645,503840
2006-02-01,626632,926581,600592,508433
2006-03-01,624196,919832,596912,507002
2006-04-01,622898,922713,598957,508745
2006-05-01,633371,925836,602992,512486
2006-06-01,639466,934214,606855,513196
2006-07-01,647711,942958,614006,521642
2006-08-01,655119,947080,618321,528038
2006-09-01,667296,954369,622292,528590
2006-10-01,666285,955041,623509,532535
2006-11-01,667116,958251,626030,534469
2006-12-01,675266,953893,625620,532853
2007-01-01,676904,949594,623628,532055
2007-02-01,667896,941167,617882,531729
2007-03-01,663567,932291,612889,528108
2007-04-01,666473,948383,616147,526482
2007-05-01,663517,962833,616838,521118
2007-06-01,662523,977195,618625,521946
2007-07-01,663072,984011,619848,521188
2007-08-01,664195,992268,621248,518928
2007-09-01,663032,998027,621970,516328
2007-10-01,663332,1005840,623053,516931
2007-11-01,667931,1012203,623984,512016
2007-12-01,665091,1012235,622823,510229
2008-01-01,657329,1009494,617050,502390
2008-02-01,651954,1015447,616397,500589
2008-03-01,647515,1017339,613210,496858
2008-04-01,640646,1014179,608427,492518
2008-05-01,637647,1019150,608136,489975
2008-06-01,635936,1023384,607948,488942
2008-07-01,635929,1026243,607624,486218
2008-08-01,636428,1022827,605033,481718
2008-09-01,633718,1019463,602397,481120
2008-10-01,631057,1016017,599358,480096
2008-11-01,623350,1009716,593022,476913
2008-12-01,615586,998133,586711,473396
2009-01-01,600928,985943,577608,468321
2009-02-01,591851,971189,567136,458957
2009-03-01,589222,961315,559405,452022
2009-04-01,580866,935723,550365,448598
2009-05-01,581108,925028,546275,447179
2009-06-01,572326,912315,539034,441032
2009-07-01,570607,901133,535030,437238
2009-08-01,566566,891531,531651,434455
2009-09-01,567239,891231,529633,429645
2009-10-01,561442,887448,526637,426923
2009-11-01,556250,879381,524252,425688
2009-12-01,547099,877334,522831,425260
2010-01-01,545147,878582,521066,421826
2010-02-01,543897,879518,518502,418056
2010-03-01,541077,876164,517389,418243
2010-04-01,538007,877381,516530,417092
2010-05-01,540150,878671,517789,418849
2010-06-01,543470,883606,519766,419586
2010-07-01,539383,884690,517523,417456
2010-08-01,535547,889219,516404,416995
2010-09-01,535222,893003,515461,415066
2010-10-01,536453,890118,513205,412342
2010-11-01,533991,888925,511459,410802
2010-12-01,527364,886361,508806,407811
2011-01-01,527480,888388,509161,409530
2011-02-01,530532,884729,508524,407776
2011-03-01,531950,880708,507743,408225
2011-04-01,531776,884203,508280,406137
2011-05-01,526308,887755,507702,408789
2011-06-01,528097,889379,508491,408770
2011-07-01,530108,892902,508963,408407
2011-08-01,531077,890635,508761,406913
2011-09-01,527713,893678,508505,406114
2011-10-01,523432,896402,506359,402180
2011-11-01,526658,888616,505036,401477
2011-12-01,525940,894212,505930,403067
2012-01-01,528785,894277,505725,402644
2012-02-01,530968,893780,505855,402640
2012-03-01,530991,898307,506045,402887
2012-04-01,532442,890574,504943,402907
2012-05-01,531708,896460,506307,402615
2012-06-01,532620,902106,507197,400500
2012-07-01,527894,911329,506748,398407
2012-08-01,526356,917047,507098,395343
2012-09-01,527987,918670,508582,396763
2012-10-01,534364,918091,509978,396483
2012-11-01,533150,920300,510102,397034
2012-12-01,531417,924174,510619,398437
2013-01-01,531734,924354,509407,397111
2013-02-01,532362,929280,509541,396909
2013-03-01,530329,935873,509039,393790
2013-04-01,539784,943339,514822,398356
2013-05-01,548882,950180,518952,398218
2013-06-01,552627,958831,521789,398127
2013-07-01,560623,970789,527061,399867
2013-08-01,564723,980619,530523,402816
2013-09-01,570302,987253,532590,404102
2013-10-01,572265,993584,534551,405152
2013-11-01,570371,1003452,535000,407626
2013-12-01,568263,1009344,535098,407524
2014-01-01,574307,1015334,539614,412083
2014-02-01,575816,1026341,542588,412961
2014-03-01,577694,1033306,543658,414536
2014-04-01,583621,1039755,545912,414045
2014-05-01,593161,1045563,551016,415473
2014-06-01,598093,1055095,554642,416321
2014-07-01,607081,1063503,561237,420489
2014-08-01,614384,1069146,563911,420601
2014-09-01,614648,1072517,563590,420312
2014-10-01,620780,1076769,566191,422427
2014-11-01,625476,1079958,565754,421737
2014-12-01,621137,1082550,565266,423902
