street_name,city,price,bedroom_number,price_per_unit,living_space,land_space,land_space_unit,property_type
135th Ave,Queens,749000.0,4.0,832.0,900.0,3924.0,sqft,MULTI_FAMILY
28 142nd St,Queens,529000.0,3.0,435.0,1216.0,3000.0,sqft,SINGLE_FAMILY
142nd St,Queens,529000.0,3.0,435.0,1216.0,3000.0,sqft,SINGLE_FAMILY
11 Inwood Street,Queens,275000.0,3.0,163.0,1680.0,2200.0,sqft,SINGLE_FAMILY
11 147th Street,Queens,575000.0,2.0,,,2000.0,sqft,SINGLE_FAMILY
02 133rd Avenue,Queens,649999.0,3.0,,,2300.0,sqft,SINGLE_FAMILY
40 144th St,Queens,439999.0,,,,3858.0,sqft,LOT
25 148th Street,Queens,575000.0,3.0,491.0,1170.0,2000.0,sqft,SINGLE_FAMILY
11 146th Street,Queens,800000.0,6.0,,,2700.0,sqft,MULTI_FAMILY
133rd Ave,Queens,1200000.0,6.0,511.0,2344.0,4016.0,sqft,MULTI_FAMILY
07 133rd Avenue,Queens,800000.0,3.0,554.0,1443.0,3800.0,sqft,MULTI_FAMILY
02 116th Avenue,Queens,669000.0,3.0,,,1800.0,sqft,SINGLE_FAMILY
Rockaway Blvd,Queens,2600000.0,,629.0,4130.0,2290.0,sqft,SINGLE_FAMILY
36 140th St,Queens,579999.0,3.0,,,2500.0,sqft,SINGLE_FAMILY
22 143rd Street,Queens,675000.0,3.0,378.0,1785.0,1785.0,sqft,TOWNHOUSE
16 145th Street,Queens,649000.0,3.0,,,2000.0,sqft,SINGLE_FAMILY
31 139 Street,Queens,749000.0,4.0,,,2280.0,sqft,SINGLE_FAMILY
(undisclosed Address),Queens,585000.0,2.0,531.0,1100.0,1720.0,sqft,SINGLE_FAMILY
30 142nd Street,Queens,599000.0,2.0,,,4000.0,sqft,SINGLE_FAMILY
40 140th Street,Queens,625000.0,5.0,250.0,2500.0,2500.0,sqft,SINGLE_FAMILY
46 144th Street,Queens,1270000.0,6.0,,,4000.0,sqft,MULTI_FAMILY
20 Inwood Street,Queens,874900.0,6.0,312.0,2800.0,3760.0,sqft,MULTI_FAMILY
25 144th Street,Queens,749000.0,3.0,,,4000.0,sqft,SINGLE_FAMILY
38 140th Street,Queens,699000.0,3.0,,,2280.0,sqft,SINGLE_FAMILY
25 146th Street,Queens,729999.0,3.0,,,2000.0,sqft,SINGLE_FAMILY
50 129 Avenue,Queens,625000.0,3.0,,,2000.0,sqft,TOWNHOUSE
27 146th St,Queens,625000.0,3.0,611.0,1022.0,2400.0,sqft,SINGLE_FAMILY
07 140th Street,Queens,950000.0,4.0,490.0,1936.0,3410.0,sqft,MULTI_FAMILY
Van Wyck Expy,Queens,998000.0,4.0,194.0,5120.0,5120.0,sqft,MULTI_FAMILY
06 142 Street,Queens,659000.0,3.0,,,2142.0,sqft,SINGLE_FAMILY
02 120th Avenue,Queens,599000.0,4.0,,,3403.0,sqft,SINGLE_FAMILY
139th St,Queens,579999.0,3.0,594.0,976.0,2375.0,sqft,SINGLE_FAMILY
29 139th Street,Queens,579999.0,3.0,,,2375.0,sqft,SINGLE_FAMILY
148th St,Queens,499000.0,3.0,308.0,1620.0,2000.0,sqft,SINGLE_FAMILY
39 143rd Street,Queens,639000.0,3.0,,,3000.0,sqft,SINGLE_FAMILY
18 143rd St #H,Queens,719000.0,4.0,299.0,2400.0,,,CONDO
34 142nd Street,Queens,699000.0,4.0,441.0,1584.0,3000.0,sqft,SINGLE_FAMILY
142nd Pl,Queens,1399999.0,7.0,526.0,2660.0,4000.0,sqft,MULTI_FAMILY
17 142 Place,Queens,1399999.0,7.0,,,4000.0,sqft,MULTI_FAMILY
37 119th Avenue,Queens,499950.0,3.0,322.0,1552.0,2500.0,sqft,SINGLE_FAMILY
(undisclosed Address),Queens,499000.0,3.0,,,2000.0,sqft,SINGLE_FAMILY
07 140th Street,Queens,999000.0,6.0,426.0,2340.0,3696.0,sqft,MULTI_FAMILY
50 146th Street,Queens,599998.0,3.0,,,2000.0,sqft,SINGLE_FAMILY
36 141st Street,Queens,659000.0,3.0,,,2090.0,sqft,SINGLE_FAMILY
33 139 Street,Queens,679.0,3.0,0.0,1500.0,2500.0,sqft,SINGLE_FAMILY
38 147th Street,Queens,400000.0,3.0,,,2000.0,sqft,SINGLE_FAMILY
41 146th Street,Queens,1125000.0,6.0,,,4000.0,sqft,MULTI_FAMILY
29 145th St,Queens,1100000.0,6.0,,,2500.0,sqft,SINGLE_FAMILY
